#"Kuntien avainluvut muuttujina Alueluokitus 2013 ja Tunnusluku"
#" ";"Maapinta-ala, km2 1.1.2012";"Taajama-aste, % 1.1.2012";"Väkiluku 31.12.2012";"Väkiluvun muutos, % 2011 - 2012";"0-14 -vuotiaiden osuus väestöstä, % 31.12.2012";"15-64 -vuotiaiden osuus väestöstä, % 31.12.2012";"65 vuotta täyttäneiden osuus väestöstä, % 31.12.2012";"Ruotsinkielisten osuus väestöstä, % 31.12.2012";"Ulkomaiden kansalaisten osuus väestöstä, % 31.12.2012";"Kuntien välinen muuttovoitto/-tappio, henkilöä 2012";"Syntyneiden enemmyys, henkilöä 2012";"Perheiden lukumäärä 31.12.2012";"Valtionveronalaiset tulot, euroa/tulonsaaja  2011";"Asuntokuntien lukumäärä 31.12.2012";"Vuokra-asunnossa asuvien asuntokuntien osuus, % 31.12.2012";"Rivi- ja pientaloissa asuvien asuntokuntien osuus asuntokunnista, % 31.12.2012";"Kesämökkien lukumäärä 31.12.2012";"Vähintään keskiasteen tutkinnon suorittaneiden osuus 15 vuotta täyttäneistä, % 31.12.2011";"Korkea-asteen tutkinnon suorittaneiden osuus 15 vuotta täyttäneistä, % 31.12.2011";"Kunnassa olevien työpaikkojen lukumäärä 31.12.2011";"Työllisten osuus 18-74-vuotiaista, % 31.12.2011";"Työttömyysaste, % 31.12.2011";"Kunnassa asuvan työllisen työvoiman määrä 31.12.2011";"Asuinkunnassaan työssäkäyvien osuus työllisestä työvoimasta, % 31.12. 2011";"Alkutuotannon työpaikkojen osuus, % 31.12.2011";"Jalostuksen työpaikkojen osuus, % 31.12.2011";"Palvelujen työpaikkojen osuus, % 31.12.2011";"Toimialaltaan tuntemattomien työpaikkojen osuus, % 31.12.2011";"Taloudellinen huoltosuhde, työvoiman ulkopuolella tai työttömänä olevat yhtä työllistä kohti 31.12.2011";"Eläkkeellä olevien osuus väestöstä, % 31.12.2011";"Yritystoimipaikkojen lukumäärä 2011"
#"Koko maa";303891;84.7;5426674;0.5;16.4;64.8;18.8;5.4;3.6;0;7786;1465733;26555;2579781;30.5;54.2;496208;67.7;28.2;2354422;60.7;9.8;2354422;67.0;3.5;22.1;73.1;1.3;1.29;24.0;352211
"Akaa";293;86.9;17134;0.3;18.7;62.5;18.8;0.2;1.4;-21;50;4782;25041;7767;19.7;71.9;886;64.9;22.8;5000;61.5;10.9;7243;50.6;4.0;36.1;58.3;1.6;1.36;24.5;1008
"Alajärvi";1009;59.7;10268;-0.6;18.5;59.5;22.0;0.1;1.9;-94;-12;2779;21729;4152;15.9;91.4;1300;59.6;19.0;3729;54.9;11.5;3754;78.8;12.6;28.1;57.4;1.9;1.75;29.0;943
"Alavieska";251;51.4;2761;0.4;20.0;59.8;20.1;0.3;0.7;-9;11;700;20972;1126;17.4;97.8;93;61.5;15.3;807;60.2;10.6;1059;53.0;25.8;23.7;48.3;2.2;1.60;26.0;230
"Alavus";1088;57.9;12341;-0.4;17.8;59.4;22.8;0.0;0.9;-37;-39;3333;21130;5343;19.7;86.9;1963;59.4;17.0;4656;58.0;9.1;4809;77.8;11.6;22.1;64.9;1.4;1.58;29.4;1047
"Asikkala";563;63.8;8461;-0.4;14.7;59.2;26.1;0.2;1.3;2;-47;2375;24824;4009;17.0;78.4;4002;62.4;23.6;2427;55.6;9.1;3350;50.4;11.4;31.8;54.3;2.5;1.54;32.2;699
"Askola";212;53.1;4988;1.6;20.8;64.1;15.0;3.4;1.7;47;30;1408;28682;2030;10.8;95.6;571;63.6;20.1;1399;68.7;6.7;2327;34.4;11.1;37.3;49.7;1.9;1.11;19.2;421
"Aura";95;68.3;3971;-0.1;20.9;63.8;15.3;0.6;1.8;-36;27;1104;25675;1702;12.0;94.5;90;63.3;21.1;1326;68.9;6.4;1897;35.4;4.9;41.2;51.7;2.2;1.10;19.5;324
"Brändö";108;.;476;-0.8;10.5;60.9;28.6;80.0;4.6;0;-6;123;25595;224;15.6;95.1;257;59.5;24.5;149;63.0;2.6;226;59.7;20.8;14.1;59.1;6.0;1.12;28.3;62
"Eckerö";108;42.3;960;-1.8;14.4;63.9;21.8;89.6;10.0;-15;-4;268;25144;453;14.6;90.9;473;52.9;14.7;246;65.4;4.1;463;39.3;15.0;15.4;65.4;4.1;1.11;25.1;118
"Enonkoski";306;40.8;1532;-2.2;13.1;56.1;30.8;0.1;1.4;-20;-15;443;20536;721;19.1;96.4;743;57.2;15.3;433;48.5;17.1;525;57.1;22.6;11.5;63.7;2.1;1.98;38.4;128
"Enontekiö - Enontekis";7945;29.8;1880;-0.7;12.9;66.0;21.1;0.6;1.3;-11;-2;514;19782;865;18.0;96.3;977;63.8;16.4;694;49.9;19.7;718;82.2;11.1;10.4;75.5;3.0;1.64;29.7;180
"Espoo - Esbo";312;99.4;256824;1.7;19.4;67.9;12.6;7.9;8.0;582;2138;69751;37440;112203;34.4;42.0;1633;73.9;44.1;121055;68.8;5.5;125460;50.2;0.1;18.1;80.5;1.3;1.01;15.4;13599
"Eura";579;71.1;12406;-0.1;16.4;60.1;23.5;0.1;1.6;-21;-30;3454;24912;5734;15.6;86.9;1295;58.2;19.3;5343;60.9;7.2;5190;67.1;7.6;48.8;42.4;1.2;1.39;29.5;1084
"Eurajoki - Euraåminne";345;63.3;5922;1.3;18.1;61.6;20.3;0.2;1.4;53;11;1754;24998;2541;10.7;95.2;1064;62.2;21.2;2613;61.0;9.6;2483;45.5;5.6;51.9;40.8;1.8;1.35;26.0;490
"Evijärvi";354;35.7;2686;-2.2;16.3;58.8;24.9;1.9;2.1;-46;-23;736;21964;1131;15.4;95.2;696;57.6;14.6;999;60.7;6.0;1121;65.3;27.0;19.2;51.5;2.3;1.45;30.8;345
"Finström";123;39.5;2531;0.2;18.9;62.6;18.5;91.7;7.2;-12;7;732;27320;1081;13.4;91.5;400;55.8;16.2;877;70.2;2.5;1237;32.0;10.5;27.5;60.4;1.6;1.04;20.8;229
"Forssa";249;90.8;17727;-0.6;13.3;62.1;24.6;0.3;2.9;-79;-86;4768;22654;9314;29.5;45.2;726;61.4;20.6;8672;55.1;14.1;7095;73.9;2.1;34.5;62.5;0.9;1.51;30.7;1320
"Föglö";135;.;578;0.2;13.0;60.7;26.3;86.5;15.9;-7;-9;152;27337;274;18.6;89.8;589;50.1;15.1;215;66.5;3.9;268;64.2;8.8;3.7;85.6;1.9;1.15;28.8;63
